"   Full Name             ","Short Name","FSF Free?","GPLv2 Compat?","GPLv3 Compat?","Upstream URL ",
"Qwt License 1.0                ","   LGPLv2+ with exceptions "," Yes "," Yes              ","Yes                ","<a href=""http://qwt.sourceforge.net/qwtlicense.html"" class=""external free"">http://qwt.sourceforge.net/qwtlicense.html</a> ",
"QuickFix License               ","   ASL 1.1      ","   Yes         ","NO           ","NO           ","<a href=""http://www.quickfixengine.org/quickfix/doc/html/license.html"" class=""external free"">http://www.quickfixengine.org/quickfix/doc/html/license.html</a> ",
"Rdisc License                  ","   Rdisc        ","   Yes         ","Yes                ","Yes                ","<a href=""https://fedoraproject.org/wiki/Licensing/Rdisc_License"" class=""external free"">https://fedoraproject.org/wiki/Licensing/Rdisc_License</a> ",
"RealNetworks Public Source License V1.0"," RPSL   ","   Yes         ","NO           ","                   ","<a href=""http://www.opensource.org/licenses/real.php"" class=""external free"">http://www.opensource.org/licenses/real.php</a> ",
"REX License                    ","   REX          ","   Yes         ","Yes                ","Yes                ","<a href=""https://fedoraproject.org/wiki/Licensing/REX"" class=""external free"">https://fedoraproject.org/wiki/Licensing/REX</a> ",
"Rice BSD                       ","   RiceBSD      ","   Yes         ","NO           ","NO           ","<a href=""https://fedoraproject.org/wiki/Licensing/Rice_BSD_License"" class=""external free"">https://fedoraproject.org/wiki/Licensing/Rice_BSD_License</a> ",
"Romio License                  ","   Romio        ","   Yes         ","Yes","Yes","<a href=""https://fedoraproject.org/wiki/Licensing/Romio_License"" class=""external free"">https://fedoraproject.org/wiki/Licensing/Romio_License</a> ",
"Rsfs License                   ","   Rsfs         ","   Yes         ","Yes                ","Yes                ","<a href=""https://fedoraproject.org/wiki/Licensing/Rsfs"" class=""external free"">https://fedoraproject.org/wiki/Licensing/Rsfs</a> ",
"Ruby License                   ","   Ruby         ","   Yes         ","Compatible if dual licensed with GPL, otherwise Incompatible"," ","<a href=""http://www.ruby-lang.org/en/LICENSE.txt"" class=""external free"">http://www.ruby-lang.org/en/LICENSE.txt</a> ",
"Saxpath License                ","   Saxpath      ","   Yes         ","NO           ","NO           ","<a href=""https://fedoraproject.org/wiki/Licensing/Saxpath_License"" class=""external free"">https://fedoraproject.org/wiki/Licensing/Saxpath_License</a> ",
"Sequence Library License       ","   Sequence     ","   Yes         ","Yes                ","Yes                ","<a href=""https://fedoraproject.org/wiki/Licensing/SequenceLibraryLicense"" class=""external free"">https://fedoraproject.org/wiki/Licensing/SequenceLibraryLicense</a> ",
"SCEA Shared Source License     ","   SCEA         ","   Yes         ","NO           ","NO           ","<a href=""http://research.scea.com/scea_shared_source_license.html"" class=""external free"">http://research.scea.com/scea_shared_source_license.html</a> ",
"Scheme Widget Library (SWL) Software License Agreement"," SWL "," Yes  "," Yes            ","Yes                ","<a href=""https://fedoraproject.org/wiki/Licensing/SWL"" class=""external free"">https://fedoraproject.org/wiki/Licensing/SWL</a> ",
"SciTech MGL Public License     ","   STMPL        ","   Yes         ","NO           ","NO           ","<a href=""https://fedoraproject.org/wiki/Licensing/STMPL"" class=""external free"">https://fedoraproject.org/wiki/Licensing/STMPL</a> ",
"SCRIP License                  ","   SCRIP        ","   Yes         ","Yes                ","Yes                ","<a href=""https://fedoraproject.org/wiki/Licensing/SCRIP"" class=""external free"">https://fedoraproject.org/wiki/Licensing/SCRIP</a> ",
"Sendmail License               ","   Sendmail     ","   Yes         ","Compatible if Eric Allman, Sendmail Inc. or the University of California is the copyright holder","Compatible if Eric Allman, Sendmail Inc. or the University of California is the copyright holder","<a href=""http://www.sendmail.com/pdfs/open_source/sendmail_license.pdf"" class=""external free"">http://www.sendmail.com/pdfs/open_source/sendmail_license.pdf</a> ",
"SGI Free Software License B 2.0 ","  MIT          ","   Yes         ","Yes                ","Yes                ","<a href=""http://oss.sgi.com/projects/FreeB/SGIFreeSWLicB.2.0.pdf"" class=""external free"">http://oss.sgi.com/projects/FreeB/SGIFreeSWLicB.2.0.pdf</a>"," ",
"Sleepycat Software Product License"," Sleepycat   ","   Yes         ","Yes                ","Yes                ","<a href=""https://fedoraproject.org/wiki/Licensing/Sleepycat"" class=""external free"">https://fedoraproject.org/wiki/Licensing/Sleepycat</a> ",
"SLIB License                   ","   SLIB         ","   Yes         ","Yes                ","Yes                ","<a href=""http://www-swiss.ai.mit.edu/%7Ejaffer/SLIB_COPYING.txt"" class=""external free"">http://www-swiss.ai.mit.edu/~jaffer/SLIB_COPYING.txt</a> ",
"softSurfer License             ","   softSurfer   ","   Yes         ","Yes                ","Yes                ","<a href=""https://fedoraproject.org/wiki/Licensing/softSurfer"" class=""external free"">https://fedoraproject.org/wiki/Licensing/softSurfer</a> ",
"SNIA Public License 1.1        ","   SNIA         ","   Yes         ","NO           ","NO           ","<a href=""https://fedoraproject.org/wiki/Licensing/SNIA_Public_License"" class=""external free"">https://fedoraproject.org/wiki/Licensing/SNIA_Public_License</a> ",
"Standard ML of New Jersey License"," MIT          ","   Yes         ","Yes                ","Yes                ","<a href=""https://fedoraproject.org/wiki/Licensing/MIT"" class=""external free"">https://fedoraproject.org/wiki/Licensing/MIT</a> ",
"Sun Industry Standards Source License"," SISSL    ","   Yes         ","NO           ","                   ","<a href=""http://www.openoffice.org/licenses/sissl_license.html"" class=""external free"">http://www.openoffice.org/licenses/sissl_license.html</a> ",
"Sun Public License             ","   SPL          ","   Yes         ","NO           ","                   ","<a href=""https://fedoraproject.org/wiki/Licensing/Sun_Public_License"" class=""external free"">https://fedoraproject.org/wiki/Licensing/Sun_Public_License</a> ",
"TCL/TK License                 ","   TCL          ","   Yes         ","Yes                ","Yes                ","<a href=""https://fedoraproject.org/wiki/Licensing/TCL"" class=""external free"">https://fedoraproject.org/wiki/Licensing/TCL</a> ",
"Teeworlds License              ","   Teeworlds    ","   Yes         ","Yes                ","Yes                ","<a href=""https://fedoraproject.org/wiki/Licensing/Teeworlds"" class=""external free"">https://fedoraproject.org/wiki/Licensing/Teeworlds</a> ",
"Text-Tabs+Wrap License         ","   TTWL         ","   Yes         ","Yes                ","Yes                ","<a href=""https://fedoraproject.org/wiki/Licensing/TTWL"" class=""external free"">https://fedoraproject.org/wiki/Licensing/TTWL</a> ",
"Thor Public License            ","   TPL          ","   Yes         ","Compatible if dual licensed with GPL, otherwise Incompatible"," ","<a href=""https://fedoraproject.org/wiki/Licensing/ThorPublicLicense"" class=""external free"">https://fedoraproject.org/wiki/Licensing/ThorPublicLicense</a> ",
"Threeparttable License         ","   Threeparttable","  Yes         ","NO           ","NO           ","<a href=""https://fedoraproject.org/wiki/Licensing/Threeparttable"" class=""external free"">https://fedoraproject.org/wiki/Licensing/Threeparttable</a> ",
"Time::ParseDate License        ","   TPDL         ","   Yes         ","Yes                ","Yes                ","<a href=""https://fedoraproject.org/wiki/Licensing/TPDL"" class=""external free"">https://fedoraproject.org/wiki/Licensing/TPDL</a> ",
"TMate Open Source License      ","   TMate        ","   Yes         ","NO           ","NO           ","<a href=""http://svnkit.com/license.html"" class=""external free"">http://svnkit.com/license.html</a> ",
"Tolua License                  ","   Tolua        ","   Yes         ","Yes                ","Yes                ","<a href=""https://fedoraproject.org/wiki/Licensing/Tolua"" class=""external free"">https://fedoraproject.org/wiki/Licensing/Tolua</a> ",
"TORQUE v2.5+ Software License v1.1 "," TORQUEv1.1 ","   Yes         ","NO           ","NO           ","<a href=""https://fedoraproject.org/wiki/Licensing/TORQUEv1.1"" class=""external free"">https://fedoraproject.org/wiki/Licensing/TORQUEv1.1</a> ",
"Transitive Grace Period Public Licence "," TGPPL  "," Sortof        ","NO           ","NO           ","<a href=""https://fedoraproject.org/wiki/Licensing/TGPPL"" class=""external free"">https://fedoraproject.org/wiki/Licensing/TGPPL</a> ",
"Trusster Open Source License   ","   TOSL         ","   Yes         ","NO           ","NO           ","<a href=""https://fedoraproject.org/wiki/Licensing/TOSL"" class=""external free"">https://fedoraproject.org/wiki/Licensing/TOSL</a> ",
"Unicode Character Database Terms Of Use","   UCD  ","   Yes         ","Yes                ","Yes                ","<a href=""https://fedoraproject.org/wiki/Licensing/UCD"" class=""external free"">https://fedoraproject.org/wiki/Licensing/UCD</a> ",
"Unicode License                ","   Unicode      ","   Yes         ","Yes                ","Yes                ","<a href=""https://fedoraproject.org/wiki/Licensing/Unicode"" class=""external free"">https://fedoraproject.org/wiki/Licensing/Unicode</a> ",
"Unlicense                      ","   Unlicense    ","   Yes         ","Yes                ","Yes                ","<a href=""https://fedoraproject.org/wiki/Licensing/Unlicense"" class=""external free"">https://fedoraproject.org/wiki/Licensing/Unlicense</a> ",
"Vim License                    ","   Vim          ","   Yes         ","Yes                ","Yes                ","<a href=""http://vimdoc.sourceforge.net/htmldoc/uganda.html"" class=""external free"">http://vimdoc.sourceforge.net/htmldoc/uganda.html</a> ",
"Vita Nuova Liberal Source License","  VNLSL       ","   Yes         ","NO           ","                   ","<a href=""https://fedoraproject.org/wiki/Licensing/Vita_Nuova_Liberal_Source_License"" class=""external free"">https://fedoraproject.org/wiki/Licensing/Vita_Nuova_Liberal_Source_License</a> ",
"VOSTROM Public License for Open Source","VOSTROM  ","   Yes         ","NO           ","NO           ","<a href=""https://fedoraproject.org/wiki/Licensing/VOSTROM"" class=""external free"">https://fedoraproject.org/wiki/Licensing/VOSTROM</a> ",
"Vovida Software License v. 1.0 ","   VSL          ","   Yes         ","NO           ","                   ","<a href=""http://opensource.org/licenses/vovidapl.php"" class=""external free"">http://opensource.org/licenses/vovidapl.php</a> ",
"W3C Software Notice and License","   W3C          ","   Yes         ","Yes                ","Yes                ","<a href=""http://www.w3.org/Consortium/Legal/2002/copyright-software-20021231"" class=""external free"">http://www.w3.org/Consortium/Legal/2002/copyright-software-20021231</a> ",
"Webmin License                 ","   Webmin       ","   Yes         ","NO           ","NO           ","<a href=""https://fedoraproject.org/wiki/Licensing/Webmin"" class=""external free"">https://fedoraproject.org/wiki/Licensing/Webmin</a> ",
"Wsuipa License                 ","   Wsuipa       ","   Yes         ","NO           ","NO           ","<a href=""https://fedoraproject.org/wiki/Licensing/Wsuipa"" class=""external free"">https://fedoraproject.org/wiki/Licensing/Wsuipa</a> ",
